user_id,input_path,output_path,status,error,original_input_words,sent_input_words,was_truncated,output_words,model
user_00723699,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_00723699.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_00723699.txt,skipped_existing,,3465,3465,0,304,gpt-4o-mini
user_00a2f533,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_00a2f533.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_00a2f533.txt,skipped_existing,,17838,17838,0,345,gpt-4o-mini
user_0128a546,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0128a546.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0128a546.txt,skipped_existing,,13118,13118,0,391,gpt-4o-mini
user_0168255c,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0168255c.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0168255c.txt,skipped_existing,,9755,9755,0,367,gpt-4o-mini
user_01916bd2,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_01916bd2.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_01916bd2.txt,skipped_existing,,5273,5273,0,355,gpt-4o-mini
user_02016939,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_02016939.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_02016939.txt,skipped_existing,,13293,13293,0,342,gpt-4o-mini
user_0285dee3,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0285dee3.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0285dee3.txt,skipped_existing,,6004,6004,0,337,gpt-4o-mini
user_02d03e8a,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_02d03e8a.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_02d03e8a.txt,skipped_existing,,15372,15372,0,369,gpt-4o-mini
user_02d8a1f8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_02d8a1f8.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_02d8a1f8.txt,skipped_existing,,7034,7034,0,319,gpt-4o-mini
user_02fecea2,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_02fecea2.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_02fecea2.txt,skipped_existing,,11816,11816,0,372,gpt-4o-mini
