T_level,query_user_id,candidate_user_id,rank,score
T1,user_0168255c,user_beca29a3,1,0.8703447580337524
T1,user_0168255c,user_0cd29f02,2,0.8059768080711365
T1,user_0168255c,user_94f185bc,3,0.7862077355384827
T1,user_0168255c,user_59d9db83,4,0.7638341784477234
T1,user_0168255c,user_c1aa2063,5,0.7602757811546326
T1,user_0168255c,user_d69d04b7,6,0.7594667673110962
T1,user_0168255c,user_788a8bb7,7,0.7570984959602356
T1,user_0168255c,user_1cbb30b1,8,0.7529140114784241
T1,user_0168255c,user_5c9a0ee9,9,0.7430550456047058
T1,user_0168255c,user_41d0c897,10,0.734570324420929
T1,user_0168255c,user_fc1cfe0b,11,0.7326918244361877
T1,user_0168255c,user_886f7373,12,0.7307208776473999
T1,user_0168255c,user_18522854,13,0.7296648621559143
T1,user_0168255c,user_a04b2a78,14,0.7288224101066589
T1,user_0168255c,user_3e1f9dc1,15,0.7270051836967468
T1,user_02016939,user_a0517bef,1,0.9556843638420105
T1,user_02016939,user_1f636ddc,2,0.9286192655563354
T1,user_02016939,user_72bed676,3,0.922305166721344
T1,user_02016939,user_8e5e899b,4,0.915658175945282
T1,user_02016939,user_1a7d6cd5,5,0.9101788997650146
T1,user_02016939,user_63b4be5f,6,0.9073503613471985
T1,user_02016939,user_94cad3a5,7,0.9071471095085144
T1,user_02016939,user_7f623d19,8,0.9053639769554138
T1,user_02016939,user_4bd9303b,9,0.9044485092163086
T1,user_02016939,user_88e84020,10,0.9042825102806091
T1,user_02016939,user_efb27a8e,11,0.9037862420082092
T1,user_02016939,user_3431c049,12,0.9023100733757019
T1,user_02016939,user_49b1ac46,13,0.8983213901519775
T1,user_02016939,user_36e75535,14,0.8977628946304321
T1,user_02016939,user_9c88ee3d,15,0.8970069289207458
T1,user_0285dee3,user_39aad1a2,1,0.9007482528686523
T1,user_0285dee3,user_4e42bf97,2,0.8799626231193542
T1,user_0285dee3,user_abde0618,3,0.8591083288192749
T1,user_0285dee3,user_124651ff,4,0.8461663126945496
T1,user_0285dee3,user_a2480011,5,0.8421230912208557
T1,user_0285dee3,user_6ab8f7d4,6,0.8323002457618713
T1,user_0285dee3,user_a151ddab,7,0.8316843509674072
T1,user_0285dee3,user_c67f26cc,8,0.8308491706848145
T1,user_0285dee3,user_ff7631ef,9,0.8280799984931946
T1,user_0285dee3,user_8e97a154,10,0.8220447301864624
T1,user_0285dee3,user_fb8f46c8,11,0.8209460377693176
T1,user_0285dee3,user_c204a1dd,12,0.8193830847740173
T1,user_0285dee3,user_0898fc4b,13,0.817300021648407
T1,user_0285dee3,user_d2e42f94,14,0.810163140296936
T1,user_0285dee3,user_524450e9,15,0.8098763227462769
T1,user_02d03e8a,user_869fcb2b,1,0.905583918094635
T1,user_02d03e8a,user_6fbf6191,2,0.9034720659255981
T1,user_02d03e8a,user_2b750e1c,3,0.8874005079269409
T1,user_02d03e8a,user_7c8639cd,4,0.883338451385498
T1,user_02d03e8a,user_b5af9db9,5,0.8673673868179321
T1,user_02d03e8a,user_b8f24804,6,0.853022038936615
T1,user_02d03e8a,user_fde2d265,7,0.8513861298561096
T1,user_02d03e8a,user_69df6330,8,0.8476373553276062
T1,user_02d03e8a,user_89f449b4,9,0.838935911655426
T1,user_02d03e8a,user_ded778b8,10,0.8371797800064087
T1,user_02d03e8a,user_529e3009,11,0.8328990340232849
T1,user_02d03e8a,user_02d03e8a,12,0.8282090425491333
T1,user_02d03e8a,user_f654c33b,13,0.8238049149513245
T1,user_02d03e8a,user_a57a04fa,14,0.8199251890182495
T1,user_02d03e8a,user_80dc757f,15,0.8174697160720825
T1,user_02d8a1f8,user_a00e0552,1,0.8782145380973816
T1,user_02d8a1f8,user_e7ff2beb,2,0.8766698837280273
T1,user_02d8a1f8,user_23ecc36a,3,0.8760482668876648
T1,user_02d8a1f8,user_4bf6a4a0,4,0.8729204535484314
T1,user_02d8a1f8,user_7b5f54c0,5,0.8709119558334351
T1,user_02d8a1f8,user_66a7ce5a,6,0.8707384467124939
T1,user_02d8a1f8,user_07cb458d,7,0.8700833320617676
T1,user_02d8a1f8,user_f930e37f,8,0.8694899082183838
T1,user_02d8a1f8,user_e3f9409b,9,0.8684000372886658
T1,user_02d8a1f8,user_259776c7,10,0.8682555556297302
T1,user_02d8a1f8,user_1dc24686,11,0.8677363991737366
T1,user_02d8a1f8,user_c008345b,12,0.8671703934669495
T1,user_02d8a1f8,user_1b7f8c56,13,0.8653234839439392
T1,user_02d8a1f8,user_c5f32c0d,14,0.8650621175765991
T1,user_02d8a1f8,user_e0c65725,15,0.8649544715881348
T1,user_02fecea2,user_67acd9b1,1,0.9335564970970154
T1,user_02fecea2,user_96013176,2,0.9149901866912842
T1,user_02fecea2,user_91321efa,3,0.912490963935852
T1,user_02fecea2,user_4e54f3d7,4,0.8944652080535889
T1,user_02fecea2,user_d14b7d7b,5,0.894361674785614
T1,user_02fecea2,user_8006727d,6,0.8910819888114929
T1,user_02fecea2,user_c34e791e,7,0.8900250792503357
T1,user_02fecea2,user_fa69a385,8,0.8899713754653931
T1,user_02fecea2,user_3239132f,9,0.8896003365516663
T1,user_02fecea2,user_0b1b1d1c,10,0.8889029026031494
T1,user_02fecea2,user_89571ce8,11,0.8881548047065735
T1,user_02fecea2,user_0ff0b922,12,0.8856425881385803
T1,user_02fecea2,user_e8ff8a9a,13,0.8853274583816528
T1,user_02fecea2,user_03410579,14,0.8844700455665588
T1,user_02fecea2,user_8292753c,15,0.8843827843666077
T1,user_03410579,user_7f623d19,1,0.895912230014801
