row_id,user_id,content_type,summary_path
0,user_0168255c,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_0168255c.txt
1,user_02016939,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_02016939.txt
2,user_0285dee3,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_0285dee3.txt
3,user_02d8a1f8,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_02d8a1f8.txt
4,user_02fecea2,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_02fecea2.txt
5,user_03410579,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_03410579.txt
6,user_043ea160,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_043ea160.txt
7,user_04d8419e,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_04d8419e.txt
8,user_0521a7ac,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_0521a7ac.txt
9,user_058c1800,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_058c1800.txt
10,user_0697c470,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_0697c470.txt
11,user_07db2c6a,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_07db2c6a.txt
12,user_07faa0fc,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_07faa0fc.txt
13,user_08c32973,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_08c32973.txt
14,user_08e9ce6e,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_08e9ce6e.txt
15,user_092e219d,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_092e219d.txt
16,user_0a0bcaa6,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_0a0bcaa6.txt
17,user_0a245f61,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_0a245f61.txt
18,user_0b64b183,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_0b64b183.txt
19,user_0c578ab5,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_0c578ab5.txt
20,user_0cc626ee,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_0cc626ee.txt
21,user_0cd29f02,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_0cd29f02.txt
22,user_0f0ad720,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_0f0ad720.txt
23,user_107259c3,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_107259c3.txt
24,user_10e64e28,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_10e64e28.txt
25,user_111cfe7d,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_111cfe7d.txt
26,user_126670d7,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_126670d7.txt
27,user_1302cb61,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_1302cb61.txt
28,user_13f8ee07,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_13f8ee07.txt
29,user_13fb2e34,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_13fb2e34.txt
30,user_147d1bbb,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_147d1bbb.txt
31,user_159646d5,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_159646d5.txt
32,user_164057cc,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_164057cc.txt
33,user_164fe4b8,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_164fe4b8.txt
34,user_165a2706,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_165a2706.txt
35,user_16b87e34,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_16b87e34.txt
36,user_17355c30,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_17355c30.txt
37,user_17607ebc,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_17607ebc.txt
38,user_183b3783,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_183b3783.txt
39,user_18522854,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_18522854.txt
40,user_18892460,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_18892460.txt
41,user_18c333c6,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_18c333c6.txt
42,user_192a215d,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_192a215d.txt
43,user_194b92fc,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_194b92fc.txt
44,user_19641691,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_19641691.txt
45,user_19952166,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_19952166.txt
46,user_1a2755b3,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_1a2755b3.txt
47,user_1a4bec69,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_1a4bec69.txt
48,user_1a7d6cd5,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_1a7d6cd5.txt
49,user_1b2d69c1,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_1b2d69c1.txt
50,user_1b7f8c56,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_1b7f8c56.txt
51,user_1b89f77a,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_1b89f77a.txt
52,user_1d775dd8,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_1d775dd8.txt
53,user_1dc24686,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_1dc24686.txt
54,user_1df51301,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_1df51301.txt
55,user_1e302679,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_1e302679.txt
56,user_1f1dc5e0,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_1f1dc5e0.txt
57,user_1f636ddc,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_1f636ddc.txt
58,user_205d25f3,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_205d25f3.txt
59,user_2142b6e1,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_2142b6e1.txt
60,user_21b4fa31,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_21b4fa31.txt
61,user_2373103d,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_2373103d.txt
62,user_245fd42f,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_245fd42f.txt
63,user_25652863,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_25652863.txt
64,user_25798310,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_25798310.txt
65,user_25b48a9a,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_25b48a9a.txt
66,user_26565155,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_26565155.txt
67,user_26fa9d90,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_26fa9d90.txt
68,user_27a3fa64,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_27a3fa64.txt
69,user_2920b35e,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_2920b35e.txt
70,user_2a704b9c,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_2a704b9c.txt
71,user_2a94c885,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_2a94c885.txt
72,user_2b271761,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_2b271761.txt
73,user_2b79ef0b,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_2b79ef0b.txt
74,user_2c3eb234,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_2c3eb234.txt
75,user_2c69b83e,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_2c69b83e.txt
76,user_2c940ff8,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_2c940ff8.txt
77,user_2dc10d2d,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_2dc10d2d.txt
78,user_2dd189e3,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_2dd189e3.txt
79,user_2eaaa117,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_2eaaa117.txt
80,user_2eb5d860,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_2eb5d860.txt
81,user_2efde048,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_2efde048.txt
82,user_2f1085dd,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_2f1085dd.txt
83,user_2f766c23,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_2f766c23.txt
84,user_3049510b,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_3049510b.txt
85,user_30802254,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_30802254.txt
86,user_3121653d,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_3121653d.txt
87,user_32934d38,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_32934d38.txt
88,user_32ae32f9,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_32ae32f9.txt
89,user_32f31383,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_32f31383.txt
90,user_3353b96b,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_3353b96b.txt
91,user_338e1332,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_338e1332.txt
92,user_34b1fb84,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_34b1fb84.txt
93,user_364bb955,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_364bb955.txt
94,user_36dd1253,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_36dd1253.txt
95,user_372c2b3e,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_372c2b3e.txt
96,user_378003e3,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_378003e3.txt
97,user_37be663c,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_37be663c.txt
98,user_38390331,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_38390331.txt
99,user_3850eb9e,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_3850eb9e.txt
100,user_3971c3e6,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_3971c3e6.txt
101,user_39939c54,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_39939c54.txt
102,user_39aad1a2,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_39aad1a2.txt
103,user_39f8897b,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_39f8897b.txt
104,user_3a55606c,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_3a55606c.txt
105,user_3b1da5d9,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_3b1da5d9.txt
106,user_3b90fb53,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_3b90fb53.txt
107,user_3bb7992e,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_3bb7992e.txt
108,user_3ce4c1f8,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_3ce4c1f8.txt
109,user_3e284ba5,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_3e284ba5.txt
110,user_3eb49f37,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_3eb49f37.txt
111,user_3f1d04a6,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_3f1d04a6.txt
112,user_3f2894b5,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_3f2894b5.txt
113,user_3f798a8b,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_3f798a8b.txt
114,user_3ff88cf0,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_3ff88cf0.txt
115,user_40a0bad3,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_40a0bad3.txt
116,user_40efa894,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_40efa894.txt
117,user_433bdef0,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_433bdef0.txt
118,user_434f3511,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_434f3511.txt
119,user_44567221,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_44567221.txt
120,user_454733da,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_454733da.txt
121,user_45926b89,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_45926b89.txt
122,user_45d008d3,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_45d008d3.txt
123,user_4607d25d,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_4607d25d.txt
124,user_476670f9,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_476670f9.txt
125,user_4aaa8404,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_4aaa8404.txt
126,user_4ab9d510,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_4ab9d510.txt
127,user_4b139395,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_4b139395.txt
128,user_4b8335bd,opinion,/Users/reflowgang/Downloads/deanonymization_project/data/content_types/summaries/opinion/user_4b8335bd.txt
