row_id,user_id,diversity_group,summary_path
0,user_0697c470,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_0697c470.txt
1,user_0c8c48ac,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_0c8c48ac.txt
2,user_107259c3,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_107259c3.txt
3,user_1230e05a,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_1230e05a.txt
4,user_159646d5,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_159646d5.txt
5,user_164057cc,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_164057cc.txt
6,user_164fe4b8,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_164fe4b8.txt
7,user_18c333c6,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_18c333c6.txt
8,user_19641691,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_19641691.txt
9,user_2142b6e1,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_2142b6e1.txt
10,user_2b271761,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_2b271761.txt
11,user_2efde048,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_2efde048.txt
12,user_2f1085dd,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_2f1085dd.txt
13,user_34b1fb84,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_34b1fb84.txt
14,user_37be663c,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_37be663c.txt
15,user_38ab51d4,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_38ab51d4.txt
16,user_39f8897b,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_39f8897b.txt
17,user_45d008d3,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_45d008d3.txt
18,user_4bd9303b,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_4bd9303b.txt
19,user_54c1ebee,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_54c1ebee.txt
20,user_58bfeaad,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_58bfeaad.txt
21,user_63110023,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_63110023.txt
22,user_6427334a,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_6427334a.txt
23,user_72bed676,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_72bed676.txt
24,user_7b052f32,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_7b052f32.txt
25,user_7b2d0be1,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_7b2d0be1.txt
26,user_7fef9da8,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_7fef9da8.txt
27,user_84fe1a7a,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_84fe1a7a.txt
28,user_8663226a,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_8663226a.txt
29,user_86685a27,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_86685a27.txt
30,user_8713f22a,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_8713f22a.txt
31,user_89f449b4,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_89f449b4.txt
32,user_8e97a154,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_8e97a154.txt
33,user_959adfc8,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_959adfc8.txt
34,user_9a307ebe,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_9a307ebe.txt
35,user_9d8095fc,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_9d8095fc.txt
36,user_9dda4af9,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_9dda4af9.txt
37,user_9e328c4e,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_9e328c4e.txt
38,user_a346dfc4,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_a346dfc4.txt
39,user_ab8e847b,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_ab8e847b.txt
40,user_ac6d6bff,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_ac6d6bff.txt
41,user_acb899e9,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_acb899e9.txt
42,user_b2f3c0d2,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_b2f3c0d2.txt
43,user_b4f295b3,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_b4f295b3.txt
44,user_b63ea1d4,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_b63ea1d4.txt
45,user_bb8be7e3,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_bb8be7e3.txt
46,user_c536b01d,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_c536b01d.txt
47,user_c81fae29,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_c81fae29.txt
48,user_d50d7985,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_d50d7985.txt
49,user_d955d7e2,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_d955d7e2.txt
50,user_e838707b,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_e838707b.txt
51,user_ecba8131,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_ecba8131.txt
52,user_ee8d5ec5,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_ee8d5ec5.txt
53,user_f7538815,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_f7538815.txt
54,user_f7bb8af1,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_f7bb8af1.txt
55,user_fb427339,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_fb427339.txt
56,user_fcf93ee8,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_fcf93ee8.txt
57,user_ff39b6cf,low,/Users/reflowgang/Downloads/deanonymization_project/data/diversity_groups/summaries/low/user_ff39b6cf.txt
