user_id,author,role,has_query,has_candidate,is_distractor
user_0001,082349872349872,query,1,1,0
user_0002,msla,distractor,0,1,1
user_0003,mynameishere,query,1,1,0
user_0004,muzani,query,1,1,0
user_0005,musicale,distractor,0,1,1
user_0006,munk-a,distractor,0,1,1
user_0007,munificent,query,1,1,0
user_0008,mulmen,query,1,1,0
user_0009,mturmon,query,1,1,0
user_0010,mtmail,query,1,1,0
user_0011,mtgx,distractor,0,1,1
user_0012,mseebach,query,1,1,0
user_0013,moron4hire,query,1,1,0
user_0014,mschuster91,distractor,0,1,1
user_0015,mrweasel,distractor,0,1,1
user_0016,mrtksn,query,1,1,0
user_0017,mrguyorama,distractor,0,1,1
user_0018,mrfusion,distractor,0,1,1
user_0019,mr_toad,distractor,0,1,1
user_0020,mpyne,query,1,1,0
user_0021,mpweiher,distractor,0,1,1
user_0022,motohagiography,query,1,1,0
user_0023,mytailorisrich,distractor,0,1,1
user_0024,mywittyname,distractor,0,1,1
user_0025,na85,distractor,0,1,1
user_0026,naasking,query,1,1,0
user_0027,nicoburns,distractor,0,1,1
user_0028,nickpsecurity,query,1,1,0
user_0029,nickik,distractor,0,1,1
user_0030,nickff,distractor,0,1,1
user_0031,nicbou,query,1,1,0
user_0032,netsharc,distractor,0,1,1
user_0033,netcan,query,1,1,0
user_0034,nerdponx,distractor,0,1,1
user_0035,neonate,distractor,0,1,1
user_0036,neom,distractor,0,1,1
user_0037,nemo44x,query,1,1,0
user_0038,neilv,distractor,0,1,1
user_0039,necovek,distractor,0,1,1
user_0040,ncmncm,query,1,1,0
user_0041,natch,query,1,1,0
user_0042,nashashmi,distractor,0,1,1
user_0043,narrator,query,1,1,0
user_0044,nailer,distractor,0,1,1
user_0045,nabla9,query,1,1,0
user_0046,mort96,query,1,1,0
user_0047,morgante,query,1,1,0
user_0048,nine_k,distractor,0,1,1
user_0049,mhh__,query,1,1,0
user_0050,mikepurvis,distractor,0,1,1
user_0051,mikeash,distractor,0,1,1
user_0052,mike_hearn,query,1,1,0
user_0053,microtonal,query,1,1,0
user_0054,micromacrofoot,distractor,0,1,1
user_0055,microcolonel,distractor,0,1,1
user_0056,michaelt,query,1,1,0
user_0057,michaelochurch,distractor,0,1,1
user_0058,michaelmrose,query,1,1,0
user_0059,mhb,query,1,1,0
user_0060,moralestapia,query,1,1,0
user_0061,mgkimsal,query,1,1,0
user_0062,metadat,distractor,0,1,1
user_0063,mercer,query,1,1,0
user_0064,meowface,distractor,0,1,1
user_0065,mensetmanusman,distractor,0,1,1
user_0066,melling,query,1,1,0
user_0067,mehrdadn,distractor,0,1,1
user_0068,megous,query,1,1,0
user_0069,mechanical_fish,distractor,0,1,1
user_0070,mikestew,query,1,1,0
user_0071,mikewarot,query,1,1,0
user_0072,mikeyouse,query,1,1,0
user_0073,mindcrime,query,1,1,0
user_0074,mooreds,query,1,1,0
user_0075,monocasa,query,1,1,0
user_0076,moffkalast,query,1,1,0
