user_id,author_original,total_comments,query_comments,candidate_comments
user_0001,082349872349872,1000,500,500
user_0002,msla,1000,0,500
user_0003,mynameishere,1000,500,500
user_0004,muzani,1000,500,500
user_0005,musicale,1000,0,500
user_0006,munk-a,1000,0,500
user_0007,munificent,1000,500,500
user_0008,mulmen,1000,500,500
user_0009,mturmon,1000,500,500
user_0010,mtmail,1000,500,500
user_0011,mtgx,1000,0,500
user_0012,mseebach,1000,500,500
user_0013,moron4hire,1000,500,500
user_0014,mschuster91,1000,0,500
user_0015,mrweasel,1000,0,500
user_0016,mrtksn,1000,500,500
user_0017,mrguyorama,1000,0,500
user_0018,mrfusion,1000,0,500
user_0019,mr_toad,1000,0,500
user_0020,mpyne,1000,500,500
user_0021,mpweiher,1000,0,500
user_0022,motohagiography,1000,500,500
user_0023,mytailorisrich,1000,0,500
user_0024,mywittyname,1000,0,500
user_0025,na85,1000,0,500
user_0026,naasking,1000,500,500
user_0027,nicoburns,1000,0,500
user_0028,nickpsecurity,1000,500,500
user_0029,nickik,1000,0,500
user_0030,nickff,1000,0,500
user_0031,nicbou,1000,500,500
user_0032,netsharc,1000,0,500
user_0033,netcan,1000,500,500
user_0034,nerdponx,1000,0,500
user_0035,neonate,1000,0,500
user_0036,neom,1000,0,500
user_0037,nemo44x,1000,500,500
user_0038,neilv,1000,0,500
user_0039,necovek,1000,0,500
user_0040,ncmncm,1000,500,500
user_0041,natch,1000,500,500
user_0042,nashashmi,1000,0,500
user_0043,narrator,1000,500,500
user_0044,nailer,1000,0,500
user_0045,nabla9,1000,500,500
user_0046,mort96,1000,500,500
user_0047,morgante,1000,500,500
user_0048,nine_k,1000,0,500
user_0049,mhh__,1000,500,500
user_0050,mikepurvis,1000,0,500
user_0051,mikeash,1000,0,500
user_0052,mike_hearn,1000,500,500
user_0053,microtonal,1000,500,500
user_0054,micromacrofoot,1000,0,500
user_0055,microcolonel,1000,0,500
user_0056,michaelt,1000,500,500
user_0057,michaelochurch,1000,0,500
user_0058,michaelmrose,1000,500,500
user_0059,mhb,1000,500,500
user_0060,moralestapia,1000,500,500
user_0061,mgkimsal,1000,500,500
user_0062,metadat,1000,0,500
user_0063,mercer,1000,500,500
user_0064,meowface,1000,0,500
user_0065,mensetmanusman,1000,0,500
user_0066,melling,1000,500,500
user_0067,mehrdadn,1000,0,500
user_0068,megous,1000,500,500
user_0069,mechanical_fish,1000,0,500
user_0070,mikestew,1000,500,500
user_0071,mikewarot,1000,500,500
user_0072,mikeyouse,1000,500,500
user_0073,mindcrime,1000,500,500
user_0074,mooreds,1000,500,500
user_0075,monocasa,1000,500,500
user_0076,moffkalast,1000,500,500
user_0077,moe,1000,0,500
user_0078,modeless,1000,500,500
user_0079,mmastrac,1000,0,500
user_0080,mlyle,1000,0,500
user_0081,mlindner,1000,500,500
user_0082,mkl,1000,500,500
user_0083,mjevans,1000,500,500
user_0084,mjburgess,1000,500,500
user_0085,mixmastamyk,1000,0,500
