pool,bucket,n_users,n_with_reason,top1_rate,top1_pct,hit_at_15_rate,hit_at_15_pct,mean_local_chars,mean_gpt4o_chars,mean_char_ratio,pct_truncated,mean_dup_rate,mean_local_traits
pool_en,1,125,125,0.336,33.6,0.48,48.0,2709.4,431.0,6.59,42.4,0.3753,99.6
pool_en,2-3,279,279,0.3584,35.8,0.4194,41.9,1243.3,535.2,2.31,12.9,0.066,52.0
pool_en,4-6,86,86,0.3953,39.5,0.4419,44.2,2348.0,552.4,4.74,32.6,0.1615,102.6
pool_en,7-10,9,9,0.5556,55.6,0.5556,55.6,3415.4,678.9,5.73,77.8,0.3306,142.0
pool_en,11+,1,1,0.0,0.0,0.0,0.0,5873.0,309.0,19.01,100.0,0.703,202.0
hn,1,2,2,0.0,0.0,0.0,0.0,3050.5,506.0,5.85,0.0,0.1887,61.0
hn,2-3,114,114,0.2018,20.2,0.2719,27.2,1705.4,581.6,3.16,19.3,0.0961,82.1
hn,4-6,295,295,0.1661,16.6,0.2407,24.1,2762.2,620.8,5.02,39.7,0.2386,136.8
hn,7-10,82,82,0.1341,13.4,0.1951,19.5,4032.6,650.2,6.3,64.6,0.3259,185.2
hn,11+,6,6,0.0,0.0,0.1667,16.7,4800.3,641.7,7.52,83.3,0.1735,180.2
