pool,user_id,n_chunks,bucket,n_words,local_chars,gpt4o_chars,char_ratio_local_over_gpt4o,local_traits,gpt4o_traits,dup_rate,truncated,top1_correct,hit_at_15
hn,user_0249,14,11+,109124,4960,853,5.814771395076201,232,19,0.125,True,False,False
hn,user_0581,14,11+,100704,1239,539,2.2987012987012987,29,17,0.0,False,False,False
hn,user_0961,13,11+,89867,5986,604,9.910596026490067,125,12,0.608,True,False,True
hn,user_0598,11,11+,87528,6043,575,10.509565217391305,235,13,0.0213,True,False,False
hn,user_0795,11,11+,83634,5124,597,8.582914572864322,230,13,0.1217,True,False,False
hn,user_0832,11,11+,84234,5450,682,7.991202346041056,230,19,0.1652,True,False,False
hn,user_0113,10,7-10,72858,895,622,1.4389067524115755,26,15,0.0,False,False,False
hn,user_0668,10,7-10,74582,6075,594,10.227272727272727,194,19,0.1495,True,True,True
hn,user_0848,10,7-10,68845,5394,813,6.634686346863469,149,17,0.2483,True,False,False
hn,user_0243,9,7-10,68181,853,467,1.8265524625267666,28,10,0.0,False,False,False
hn,user_0707,9,7-10,65813,5836,700,8.337142857142856,325,18,0.4369,True,False,False
hn,user_0974,9,7-10,63086,4897,488,10.03483606557377,222,13,0.0541,True,False,False
hn,user_0020,8,7-10,51725,7169,793,9.040353089533417,157,15,0.8089,True,False,False
hn,user_0022,8,7-10,69949,2677,818,3.272616136919315,161,15,0.0124,True,False,False
hn,user_0028,8,7-10,59089,1249,430,2.9046511627906977,80,9,0.0,False,False,False
hn,user_0052,8,7-10,56485,3240,471,6.8789808917197455,260,11,0.7885,True,False,False
hn,user_0063,8,7-10,56062,5494,552,9.952898550724637,303,14,0.7921,False,False,False
hn,user_0070,8,7-10,50987,6279,688,9.126453488372093,207,17,0.5894,True,False,False
hn,user_0072,8,7-10,45440,3329,543,6.130755064456722,249,10,0.5301,True,False,False
hn,user_0073,8,7-10,49724,4097,591,6.932318104906938,285,20,0.1368,False,True,True
hn,user_0107,8,7-10,56424,5717,414,13.809178743961352,180,10,0.5611,False,False,False
hn,user_0152,8,7-10,63568,5700,685,8.321167883211679,261,18,0.7203,True,False,True
hn,user_0159,8,7-10,60501,3878,657,5.902587519025875,252,18,0.746,True,False,False
hn,user_0162,8,7-10,60165,5047,550,9.176363636363636,250,13,0.5,True,False,False
hn,user_0169,8,7-10,50137,4695,539,8.710575139146568,181,15,0.4696,False,True,True
hn,user_0176,8,7-10,48148,839,778,1.0784061696658098,29,20,0.0,False,False,True
hn,user_0204,8,7-10,74334,3197,667,4.793103448275862,146,18,0.0,True,True,True
hn,user_0244,8,7-10,63778,5735,687,8.347889374090247,186,15,0.5806,True,False,False
hn,user_0253,8,7-10,54467,4206,546,7.7032967032967035,481,17,0.8316,True,False,False
hn,user_0256,8,7-10,61842,673,528,1.2746212121212122,28,18,0.0,False,False,False
hn,user_0275,8,7-10,63466,730,795,0.9182389937106918,31,17,0.0,False,False,False
hn,user_0289,8,7-10,52557,4919,821,5.991473812423873,289,18,0.3356,False,False,False
hn,user_0349,8,7-10,52282,1594,737,2.1628222523744913,104,16,0.0192,True,False,False
hn,user_0358,8,7-10,57453,4591,836,5.491626794258373,209,18,0.067,True,True,True
hn,user_0359,8,7-10,56898,3286,699,4.701001430615165,149,15,0.0201,False,False,False
hn,user_0379,8,7-10,52420,1974,591,3.3401015228426396,56,14,0.0,False,False,False
hn,user_0383,8,7-10,54336,2247,444,5.0608108108108105,182,14,0.0055,True,False,False
hn,user_0391,8,7-10,62287,5956,785,7.587261146496815,129,17,0.3643,True,False,False
hn,user_0472,8,7-10,47252,4227,765,5.525490196078431,242,14,0.7149,True,False,False
hn,user_0493,8,7-10,43532,4944,634,7.798107255520505,302,16,0.4007,True,True,True
hn,user_0559,8,7-10,45241,1333,483,2.759834368530021,42,15,0.0,False,False,False
hn,user_0566,8,7-10,70526,5116,812,6.300492610837439,210,19,0.281,True,False,False
hn,user_0614,8,7-10,55449,5404,867,6.232987312572088,207,22,0.3816,True,False,False
hn,user_0635,8,7-10,45969,5376,581,9.25301204819277,188,12,0.8564,True,False,False
hn,user_0643,8,7-10,57337,1554,689,2.2554426705370103,51,19,0.0,False,False,False
hn,user_0653,8,7-10,50227,4634,715,6.481118881118881,142,17,0.0141,True,True,True
hn,user_0660,8,7-10,49881,6108,595,10.265546218487396,164,18,0.6951,True,False,False
hn,user_0676,8,7-10,57181,6794,622,10.92282958199357,177,16,0.548,True,False,False
hn,user_0678,8,7-10,50425,3662,606,6.042904290429043,470,13,0.7404,True,False,False
