pool,user_id,n_chunks,bucket,n_words,local_chars,gpt4o_chars,char_ratio_local_over_gpt4o,local_traits,gpt4o_traits,dup_rate,truncated,top1_correct,hit_at_15
pool_en,user_baf68fe9,16,11+,29355,5873,309,19.006472491909385,202,6,0.703,True,False,False
pool_en,user_1230e05a,8,7-10,49811,4469,1726,2.589223638470452,163,41,0.5828,True,True,True
pool_en,user_8663226a,8,7-10,58998,5411,826,6.5508474576271185,193,22,0.6528,True,False,False
pool_en,user_d1d16d30,8,7-10,51382,4009,451,8.889135254988913,214,11,0.6075,True,True,True
pool_en,user_daf37424,8,7-10,60334,3961,419,9.45346062052506,161,15,0.2919,True,False,False
pool_en,user_efcacf59,8,7-10,59002,2038,255,7.992156862745098,114,7,0.0,True,False,False
pool_en,user_5a5bee64,7,7-10,41696,5261,802,6.559850374064838,111,18,0.1982,True,False,False
pool_en,user_6592f2e4,7,7-10,47177,535,513,1.0428849902534114,15,12,0.0,False,True,True
pool_en,user_cdd86523,7,7-10,40796,3744,686,5.457725947521866,241,16,0.6266,True,True,True
pool_en,user_f959eee4,7,7-10,48349,1311,432,3.0347222222222223,66,11,0.0152,False,True,True
pool_en,user_99c67f2f,6,4-6,37297,4194,600,6.99,321,13,0.215,True,True,True
pool_en,user_b6b89f00,6,4-6,38236,811,448,1.8102678571428572,32,12,0.0,False,True,True
pool_en,user_1a2755b3,5,4-6,36171,4029,634,6.354889589905363,149,14,0.5839,True,True,True
pool_en,user_34b1fb84,5,4-6,39653,3149,769,4.094928478543563,204,22,0.0098,True,False,False
pool_en,user_39f8897b,5,4-6,39013,4382,398,11.010050251256281,332,11,0.7711,False,True,True
pool_en,user_41b20ee4,5,4-6,29948,5507,270,20.396296296296295,200,7,0.555,True,False,False
pool_en,user_4f3b6241,5,4-6,39902,271,611,0.44353518821603927,14,15,0.0,False,False,False
pool_en,user_53325367,5,4-6,27584,2181,711,3.067510548523207,137,16,0.0438,False,False,False
pool_en,user_ab5592eb,5,4-6,31050,6067,269,22.55390334572491,145,7,0.4828,True,False,True
pool_en,user_ac6e9129,5,4-6,37865,6673,632,10.558544303797468,184,16,0.8261,True,True,True
pool_en,user_c130412b,5,4-6,35920,770,457,1.6849015317286653,36,15,0.0,False,False,False
pool_en,user_c50a487d,5,4-6,45297,2618,581,4.506024096385542,56,15,0.0,False,False,False
pool_en,user_e8613813,5,4-6,35667,1143,1116,1.0241935483870968,57,10,0.0,False,False,False
pool_en,user_f54058d0,5,4-6,32816,3224,511,6.309197651663405,252,15,0.8492,False,True,True
pool_en,user_03410579,4,4-6,22682,548,813,0.6740467404674046,31,16,0.0,False,False,False
pool_en,user_043ea160,4,4-6,21426,805,595,1.3529411764705883,44,18,0.0,False,True,True
pool_en,user_04d8419e,4,4-6,23761,1931,594,3.250841750841751,118,12,0.0085,False,False,False
pool_en,user_07cb458d,4,4-6,29821,2925,889,3.2902137232845896,255,17,0.9294,True,False,False
pool_en,user_0b5c256a,4,4-6,27698,2698,438,6.159817351598173,95,14,0.1368,False,False,False
pool_en,user_0cd29f02,4,4-6,34049,1173,398,2.9472361809045227,36,9,0.0,False,False,False
pool_en,user_111cfe7d,4,4-6,28065,415,684,0.6067251461988304,22,15,0.0,False,False,False
pool_en,user_11e8421f,4,4-6,31131,4731,663,7.135746606334842,126,14,0.0159,True,True,True
pool_en,user_18522854,4,4-6,24055,396,589,0.6723259762308998,24,17,0.0,False,False,False
pool_en,user_19952166,4,4-6,21946,5832,509,11.457760314341847,188,15,0.6436,True,False,False
pool_en,user_1a7d6cd5,4,4-6,25489,951,449,2.11804008908686,56,15,0.0,False,False,True
pool_en,user_2142b6e1,4,4-6,31062,1364,515,2.6485436893203884,62,12,0.0,False,False,False
pool_en,user_245fd42f,4,4-6,25641,2777,649,4.278890600924499,87,16,0.0,False,False,True
pool_en,user_25652863,4,4-6,25870,4670,496,9.415322580645162,161,14,0.0,True,False,False
pool_en,user_27a3fa64,4,4-6,35230,518,519,0.9980732177263969,16,13,0.0,False,True,True
pool_en,user_2b750e1c,4,4-6,25965,740,594,1.245791245791246,15,13,0.0,False,False,False
pool_en,user_2f1085dd,4,4-6,25732,437,706,0.6189801699716714,18,13,0.0,False,False,False
pool_en,user_32f31383,4,4-6,25868,4562,654,6.9755351681957185,166,17,0.4458,True,False,False
pool_en,user_378003e3,4,4-6,29555,1493,424,3.5212264150943398,50,13,0.02,False,False,False
pool_en,user_39939c54,4,4-6,24044,690,591,1.16751269035533,25,17,0.0,False,True,True
pool_en,user_3e284ba5,4,4-6,31493,5798,648,8.947530864197532,216,14,0.3935,True,False,False
pool_en,user_476670f9,4,4-6,24201,619,539,1.1484230055658626,19,14,0.0,False,False,False
pool_en,user_4bd9303b,4,4-6,29929,1316,402,3.27363184079602,58,10,0.0,False,False,False
pool_en,user_5062c872,4,4-6,27514,1698,436,3.8944954128440368,65,13,0.0,False,True,True
pool_en,user_515ae840,4,4-6,27731,4806,525,9.154285714285715,466,12,0.8219,True,False,False
pool_en,user_52d3881c,4,4-6,32622,680,725,0.9379310344827586,29,20,0.0,False,True,True
