estimator,bin_lo,bin_hi,n,mean_confidence,accuracy,gap_abs
a_verbalized,0.00,0.10,0,,,
a_verbalized,0.10,0.20,0,,,
a_verbalized,0.20,0.30,0,,,
a_verbalized,0.30,0.40,0,,,
a_verbalized,0.40,0.50,0,,,
a_verbalized,0.50,0.60,0,,,
a_verbalized,0.60,0.70,5,0.6500,0.0000,0.6500
a_verbalized,0.70,0.80,1,0.7500,0.0000,0.7500
a_verbalized,0.80,0.90,29,0.8500,0.3448,0.5052
a_verbalized,0.90,1.00,15,0.9500,0.8667,0.0833
b_selected_id_exp_logprob,0.00,0.10,0,,,
b_selected_id_exp_logprob,0.10,0.20,0,,,
b_selected_id_exp_logprob,0.20,0.30,1,0.2319,0.0000,0.2319
b_selected_id_exp_logprob,0.30,0.40,1,0.3913,0.0000,0.3913
b_selected_id_exp_logprob,0.40,0.50,5,0.4573,0.2000,0.2573
b_selected_id_exp_logprob,0.50,0.60,6,0.5533,0.0000,0.5533
b_selected_id_exp_logprob,0.60,0.70,2,0.6318,0.0000,0.6318
b_selected_id_exp_logprob,0.70,0.80,3,0.7709,0.6667,0.1042
b_selected_id_exp_logprob,0.80,0.90,4,0.8476,0.0000,0.8476
b_selected_id_exp_logprob,0.90,1.00,28,0.9805,0.7143,0.2662
