estimator,metric,point,ci95_low,ci95_high,n_boot
a_verbalized,recall_at_90_precision,0.0000,0.0000,0.7308,5000
a_verbalized,ece,0.3980,0.2740,0.5320,5000
a_verbalized,brier,0.3693,0.2733,0.4685,5000
a_verbalized,average_precision,0.7171,0.5354,0.8650,5000
b_selected_id_exp_logprob,recall_at_90_precision,0.7826,0.2307,0.9600,5000
b_selected_id_exp_logprob,ece,0.3530,0.2534,0.4769,5000
b_selected_id_exp_logprob,brier,0.2952,0.2023,0.3917,5000
b_selected_id_exp_logprob,average_precision,0.9012,0.7808,0.9805,5000
c_old_softmax15,recall_at_90_precision,0.6087,0.1000,0.8571,5000
c_old_softmax15,ece,0.3848,0.2458,0.5239,5000
c_old_softmax15,brier,0.3916,0.2730,0.5101,5000
c_old_softmax15,average_precision,0.8488,0.7000,0.9553,5000
c1_p_yes,recall_at_90_precision,0.4783,0.1429,0.7059,5000
c1_p_yes,ece,0.1428,0.1150,0.2960,5000
c1_p_yes,brier,0.1964,0.1329,0.2648,5000
c1_p_yes,average_precision,0.7931,0.6352,0.9083,5000
c2_mean_p_a_top3,recall_at_90_precision,0.4783,0.1200,0.7826,5000
c2_mean_p_a_top3,ece,0.4160,0.2872,0.5470,5000
c2_mean_p_a_top3,brier,0.3820,0.2811,0.4842,5000
c2_mean_p_a_top3,average_precision,0.8220,0.6685,0.9346,5000
