pool,estimator,metric,point,ci95_low,ci95_high,n_boot,seed
pool_en,a_verbalized,recall_at_90_precision,0.2210,0.0000,0.2825,10000,2026
pool_en,a_verbalized,recall_at_99_precision,0.0000,0.0000,0.2500,10000,2026
pool_en,a_verbalized,ece,0.4071,0.3720,0.4484,10000,2026
pool_en,a_verbalized,brier,0.3566,0.3313,0.3824,10000,2026
pool_en,a_verbalized,average_precision,0.6162,0.5573,0.6700,10000,2026
pool_en,b_selected_id_exp_logprob,recall_at_90_precision,0.4475,0.3315,0.5879,10000,2026
pool_en,b_selected_id_exp_logprob,recall_at_99_precision,0.0663,0.0351,0.3876,10000,2026
pool_en,b_selected_id_exp_logprob,ece,0.4210,0.3848,0.4572,10000,2026
pool_en,b_selected_id_exp_logprob,brier,0.3467,0.3170,0.3768,10000,2026
pool_en,b_selected_id_exp_logprob,average_precision,0.8162,0.7615,0.8639,10000,2026
pool_en,c1_p_yes,recall_at_90_precision,0.0552,0.0223,0.1179,10000,2026
pool_en,c1_p_yes,recall_at_99_precision,0.0497,0.0223,0.0919,10000,2026
pool_en,c1_p_yes,ece,0.1160,0.0927,0.1621,10000,2026
pool_en,c1_p_yes,brier,0.2077,0.1831,0.2328,10000,2026
pool_en,c1_p_yes,average_precision,0.6073,0.5335,0.6793,10000,2026
pool_en,c2_mean_p_a_top3,recall_at_90_precision,0.2762,0.0351,0.4586,10000,2026
pool_en,c2_mean_p_a_top3,recall_at_99_precision,0.0331,0.0113,0.2651,10000,2026
pool_en,c2_mean_p_a_top3,ece,0.5375,0.4981,0.5766,10000,2026
pool_en,c2_mean_p_a_top3,brier,0.4892,0.4554,0.5229,10000,2026
pool_en,c2_mean_p_a_top3,average_precision,0.7508,0.6848,0.8100,10000,2026
hn,a_verbalized,recall_at_90_precision,0.0000,0.0000,0.0000,10000,2026
hn,a_verbalized,recall_at_99_precision,0.0000,0.0000,0.0000,10000,2026
hn,a_verbalized,ece,0.6877,0.6567,0.7192,10000,2026
hn,a_verbalized,brier,0.6004,0.5770,0.6240,10000,2026
hn,a_verbalized,average_precision,0.3530,0.2632,0.4509,10000,2026
hn,b_selected_id_exp_logprob,recall_at_90_precision,0.1585,0.0494,0.3956,10000,2026
hn,b_selected_id_exp_logprob,recall_at_99_precision,0.0976,0.0430,0.2644,10000,2026
hn,b_selected_id_exp_logprob,ece,0.5827,0.5531,0.6127,10000,2026
hn,b_selected_id_exp_logprob,brier,0.4588,0.4304,0.4869,10000,2026
hn,b_selected_id_exp_logprob,average_precision,0.6600,0.5549,0.7577,10000,2026
hn,c1_p_yes,recall_at_90_precision,0.0610,0.0147,0.1538,10000,2026
hn,c1_p_yes,recall_at_99_precision,0.0610,0.0145,0.1370,10000,2026
hn,c1_p_yes,ece,0.2428,0.2140,0.2779,10000,2026
hn,c1_p_yes,brier,0.1975,0.1799,0.2157,10000,2026
hn,c1_p_yes,average_precision,0.4280,0.3288,0.5341,10000,2026
hn,c2_mean_p_a_top3,recall_at_90_precision,0.0122,0.0000,0.1341,10000,2026
hn,c2_mean_p_a_top3,recall_at_99_precision,0.0122,0.0000,0.1039,10000,2026
hn,c2_mean_p_a_top3,ece,0.6851,0.6550,0.7179,10000,2026
hn,c2_mean_p_a_top3,brier,0.5988,0.5722,0.6256,10000,2026
hn,c2_mean_p_a_top3,average_precision,0.4270,0.3261,0.5477,10000,2026
