pool,estimator,metric,n,n_correct,point,boot_mean,ci95_low,ci95_high,n_boot,n_boot_undefined,undefined_as,seed
pool_en,a_verbalized,recall_at_90_precision,499,181,0.2210,0.2067,0.0000,0.2825,10000,0,zero,2026
pool_en,a_verbalized,recall_at_99_precision,499,181,0.0000,0.0302,0.0000,0.2500,10000,0,zero,2026
pool_en,a_verbalized,ece,499,181,0.4071,0.4099,0.3720,0.4484,10000,0,omit,2026
pool_en,a_verbalized,brier,499,181,0.3566,0.3567,0.3313,0.3824,10000,0,omit,2026
pool_en,a_verbalized,average_precision,499,181,0.6162,0.6162,0.5573,0.6700,10000,0,omit,2026
pool_en,b_selected_id_exp_logprob,recall_at_90_precision,499,181,0.4475,0.4617,0.3315,0.5879,10000,0,zero,2026
pool_en,b_selected_id_exp_logprob,recall_at_99_precision,499,181,0.0663,0.1560,0.0351,0.3876,10000,0,zero,2026
pool_en,b_selected_id_exp_logprob,ece,499,181,0.4210,0.4213,0.3848,0.4572,10000,0,omit,2026
pool_en,b_selected_id_exp_logprob,brier,499,181,0.3467,0.3468,0.3170,0.3768,10000,0,omit,2026
pool_en,b_selected_id_exp_logprob,average_precision,499,181,0.8162,0.8167,0.7615,0.8639,10000,0,omit,2026
hn,a_verbalized,recall_at_90_precision,497,82,0.0000,0.0000,0.0000,0.0000,10000,0,zero,2026
hn,a_verbalized,recall_at_99_precision,497,82,0.0000,0.0000,0.0000,0.0000,10000,0,zero,2026
hn,a_verbalized,ece,497,82,0.6877,0.6879,0.6567,0.7192,10000,0,omit,2026
hn,a_verbalized,brier,497,82,0.6004,0.6005,0.5770,0.6240,10000,0,omit,2026
hn,a_verbalized,average_precision,497,82,0.3530,0.3555,0.2632,0.4509,10000,0,omit,2026
hn,b_selected_id_exp_logprob,recall_at_90_precision,497,82,0.1585,0.1982,0.0494,0.3956,10000,0,zero,2026
hn,b_selected_id_exp_logprob,recall_at_99_precision,497,82,0.0976,0.1286,0.0430,0.2644,10000,0,zero,2026
hn,b_selected_id_exp_logprob,ece,497,82,0.5827,0.5828,0.5531,0.6127,10000,0,omit,2026
hn,b_selected_id_exp_logprob,brier,497,82,0.4588,0.4588,0.4304,0.4869,10000,0,omit,2026
hn,b_selected_id_exp_logprob,average_precision,497,82,0.6600,0.6625,0.5549,0.7577,10000,0,omit,2026
