pool,estimator,bin_lo,bin_hi,n,mean_confidence,accuracy,gap_abs
pool_en,a_verbalized,0.00,0.10,0,,,
pool_en,a_verbalized,0.10,0.20,2,0.1500,0.0000,0.1500
pool_en,a_verbalized,0.20,0.30,0,,,
pool_en,a_verbalized,0.30,0.40,9,0.3500,0.2222,0.1278
pool_en,a_verbalized,0.40,0.50,28,0.4500,0.0357,0.4143
pool_en,a_verbalized,0.50,0.60,0,,,
pool_en,a_verbalized,0.60,0.70,120,0.6500,0.0667,0.5833
pool_en,a_verbalized,0.70,0.80,33,0.7500,0.1818,0.5682
pool_en,a_verbalized,0.80,0.90,265,0.8500,0.4679,0.3821
pool_en,a_verbalized,0.90,1.00,42,0.9500,0.9524,0.0024
pool_en,b_selected_id_exp_logprob,0.00,0.10,0,,,
pool_en,b_selected_id_exp_logprob,0.10,0.20,0,,,
pool_en,b_selected_id_exp_logprob,0.20,0.30,13,0.2533,0.0000,0.2533
pool_en,b_selected_id_exp_logprob,0.30,0.40,22,0.3644,0.0455,0.3189
pool_en,b_selected_id_exp_logprob,0.40,0.50,38,0.4648,0.0526,0.4121
pool_en,b_selected_id_exp_logprob,0.50,0.60,43,0.5512,0.0698,0.4814
pool_en,b_selected_id_exp_logprob,0.60,0.70,45,0.6418,0.1111,0.5307
pool_en,b_selected_id_exp_logprob,0.70,0.80,55,0.7452,0.2000,0.5452
pool_en,b_selected_id_exp_logprob,0.80,0.90,60,0.8511,0.2167,0.6344
pool_en,b_selected_id_exp_logprob,0.90,1.00,223,0.9752,0.6547,0.3205
hn,a_verbalized,0.00,0.10,0,,,
hn,a_verbalized,0.10,0.20,0,,,
hn,a_verbalized,0.20,0.30,0,,,
hn,a_verbalized,0.30,0.40,0,,,
hn,a_verbalized,0.40,0.50,0,,,
hn,a_verbalized,0.50,0.60,0,,,
hn,a_verbalized,0.60,0.70,16,0.6500,0.0000,0.6500
hn,a_verbalized,0.70,0.80,18,0.7500,0.0556,0.6944
hn,a_verbalized,0.80,0.90,399,0.8500,0.1128,0.7372
hn,a_verbalized,0.90,1.00,64,0.9491,0.5625,0.3866
hn,b_selected_id_exp_logprob,0.00,0.10,0,,,
hn,b_selected_id_exp_logprob,0.10,0.20,1,0.1794,0.0000,0.1794
hn,b_selected_id_exp_logprob,0.20,0.30,9,0.2573,0.0000,0.2573
hn,b_selected_id_exp_logprob,0.30,0.40,26,0.3485,0.0000,0.3485
hn,b_selected_id_exp_logprob,0.40,0.50,40,0.4492,0.0000,0.4492
hn,b_selected_id_exp_logprob,0.50,0.60,65,0.5525,0.0154,0.5371
hn,b_selected_id_exp_logprob,0.60,0.70,58,0.6499,0.0690,0.5809
hn,b_selected_id_exp_logprob,0.70,0.80,63,0.7500,0.0794,0.6707
hn,b_selected_id_exp_logprob,0.80,0.90,56,0.8569,0.0714,0.7854
hn,b_selected_id_exp_logprob,0.90,1.00,179,0.9678,0.3799,0.5879
