setting,cal_pool,test_pool,estimator,policy,requested_precision,n_cal,n_test,cal_n_correct,test_n_correct,threshold,threshold_found_on_cal,n_accepted,n_accepted_ci95_low,n_accepted_ci95_high,n_correct_accepted,delivered_precision,delivered_precision_ci95_low,delivered_precision_ci95_high,delivered_recall,n_boot,n_boot_defined_precision,note
within_platform,pool_en,pool_en,a_verbalized,naive_raw_0.9,0.9,249,250,92,89,0.9000,true,20,12.0,29.0,19,0.9500,0.8333,1.0000,0.2135,10000,10000,
within_platform,pool_en,pool_en,a_verbalized,isotonic_thr_for_target_p,0.9,249,250,92,89,0.9545,true,20,12.0,29.0,19,0.9500,0.8333,1.0000,0.2135,10000,10000,
within_platform,pool_en,pool_en,a_verbalized,isotonic_then_0.9,0.9,249,250,92,89,0.9000,true,20,12.0,29.0,19,0.9500,0.8333,1.0000,0.2135,10000,10000,
within_platform,pool_en,pool_en,a_verbalized,raw_thr_for_target_p,0.9,249,250,92,89,0.9500,true,20,12.0,29.0,19,0.9500,0.8333,1.0000,0.2135,10000,10000,
within_platform,pool_en,pool_en,b_selected_id_exp_logprob,naive_raw_0.9,0.9,249,250,92,89,0.9000,true,116,101.0,131.0,75,0.6466,0.5603,0.7321,0.8427,10000,10000,
within_platform,pool_en,pool_en,b_selected_id_exp_logprob,isotonic_thr_for_target_p,0.9,249,250,92,89,0.7857,true,44,32.0,56.0,39,0.8864,0.7826,0.9750,0.4382,10000,10000,
within_platform,pool_en,pool_en,b_selected_id_exp_logprob,isotonic_then_0.9,0.9,249,250,92,89,0.9000,true,25,16.0,34.0,24,0.9600,0.8667,1.0000,0.2697,10000,10000,
within_platform,pool_en,pool_en,b_selected_id_exp_logprob,raw_thr_for_target_p,0.9,249,250,92,89,0.9942,true,44,32.0,56.0,39,0.8864,0.7826,0.9750,0.4382,10000,10000,
within_platform,hn,hn,a_verbalized,naive_raw_0.9,0.9,248,249,42,40,0.9000,true,36,25.0,47.0,20,0.5556,0.3929,0.7222,0.5000,10000,10000,
within_platform,hn,hn,a_verbalized,isotonic_thr_for_target_p,0.9,248,249,42,40,,false,0,,,0,,,,,10000,0,no_cal_threshold_meets_target_precision
within_platform,hn,hn,a_verbalized,isotonic_then_0.9,0.9,248,249,42,40,0.9000,true,0,0.0,0.0,0,,,,0.0000,10000,0,
within_platform,hn,hn,a_verbalized,raw_thr_for_target_p,0.9,248,249,42,40,,false,0,,,0,,,,,10000,0,no_cal_threshold_meets_target_precision
within_platform,hn,hn,b_selected_id_exp_logprob,naive_raw_0.9,0.9,248,249,42,40,0.9000,true,89,74.0,104.0,31,0.3483,0.2500,0.4533,0.7750,10000,10000,
within_platform,hn,hn,b_selected_id_exp_logprob,isotonic_thr_for_target_p,0.9,248,249,42,40,0.8000,true,33,23.0,44.0,20,0.6061,0.4375,0.7742,0.5000,10000,10000,
within_platform,hn,hn,b_selected_id_exp_logprob,isotonic_then_0.9,0.9,248,249,42,40,0.9000,true,22,14.0,31.0,14,0.6364,0.4286,0.8333,0.3500,10000,10000,
within_platform,hn,hn,b_selected_id_exp_logprob,raw_thr_for_target_p,0.9,248,249,42,40,0.9937,true,33,23.0,44.0,20,0.6061,0.4375,0.7742,0.5000,10000,10000,
cross_platform,pool_en,hn,b_selected_id_exp_logprob,naive_raw_0.9,0.9,499,497,181,82,0.9000,true,179,158.0,200.0,68,0.3799,0.3099,0.4503,0.8293,10000,10000,
cross_platform,pool_en,hn,b_selected_id_exp_logprob,isotonic_thr_for_target_p,0.9,499,497,181,82,0.8182,true,51,38.0,64.0,37,0.7255,0.6000,0.8462,0.4512,10000,10000,
cross_platform,pool_en,hn,b_selected_id_exp_logprob,isotonic_then_0.9,0.9,499,497,181,82,0.9000,true,33,23.0,44.0,26,0.7879,0.6389,0.9200,0.3171,10000,10000,
cross_platform,hn,pool_en,b_selected_id_exp_logprob,naive_raw_0.9,0.9,497,499,82,181,0.9000,true,223,201.0,245.0,146,0.6547,0.5921,0.7167,0.8066,10000,10000,
cross_platform,hn,pool_en,b_selected_id_exp_logprob,isotonic_thr_for_target_p,0.9,497,499,82,181,0.8333,true,34,23.0,45.0,33,0.9706,0.9000,1.0000,0.1823,10000,10000,
cross_platform,hn,pool_en,b_selected_id_exp_logprob,isotonic_then_0.9,0.9,497,499,82,181,0.9000,true,16,9.0,24.0,15,0.9375,0.7895,1.0000,0.0829,10000,10000,
cross_platform,pool_en,hn,a_verbalized,naive_raw_0.9,0.9,499,497,181,82,0.9000,true,64,50.0,79.0,36,0.5625,0.4423,0.6842,0.4390,10000,10000,
cross_platform,pool_en,hn,a_verbalized,isotonic_thr_for_target_p,0.9,499,497,181,82,0.9524,true,62,48.0,76.0,36,0.5806,0.4576,0.7031,0.4390,10000,10000,
cross_platform,pool_en,hn,a_verbalized,isotonic_then_0.9,0.9,499,497,181,82,0.9000,true,62,48.0,76.0,36,0.5806,0.4576,0.7031,0.4390,10000,10000,
cross_platform,hn,pool_en,a_verbalized,naive_raw_0.9,0.9,497,499,82,181,0.9000,true,42,30.0,55.0,40,0.9524,0.8776,1.0000,0.2210,10000,10000,
cross_platform,hn,pool_en,a_verbalized,isotonic_thr_for_target_p,0.9,497,499,82,181,,false,0,,,0,,,,,10000,0,no_cal_threshold_meets_target_precision
cross_platform,hn,pool_en,a_verbalized,isotonic_then_0.9,0.9,497,499,82,181,0.9000,true,0,0.0,0.0,0,,,,0.0000,10000,0,
