pool,estimator,metric,n,n_correct,point,boot_mean,ci95_low,ci95_high,n_boot,n_boot_undefined,undefined_as,seed
pool_en,a_verbalized,recall_at_90_precision,497,192,0.3333,0.2578,0.0000,0.3980,10000,0,zero,2026
pool_en,a_verbalized,recall_at_99_precision,497,192,0.0000,0.0264,0.0000,0.2200,10000,0,zero,2026
pool_en,a_verbalized,ece,497,192,0.3993,0.4006,0.3624,0.4388,10000,0,omit,2026
pool_en,a_verbalized,brier,497,192,0.3577,0.3574,0.3313,0.3834,10000,0,omit,2026
pool_en,a_verbalized,average_precision,497,192,0.6604,0.6615,0.6042,0.7157,10000,0,omit,2026
pool_en,b_selected_id_exp_logprob,recall_at_90_precision,497,192,0.5781,0.5475,0.2957,0.6782,10000,0,zero,2026
pool_en,b_selected_id_exp_logprob,recall_at_99_precision,497,192,0.0573,0.1037,0.0292,0.2775,10000,0,zero,2026
pool_en,b_selected_id_exp_logprob,ece,497,192,0.3515,0.3512,0.3164,0.3861,10000,0,omit,2026
pool_en,b_selected_id_exp_logprob,brier,497,192,0.2878,0.2876,0.2628,0.3131,10000,0,omit,2026
pool_en,b_selected_id_exp_logprob,average_precision,497,192,0.8254,0.8263,0.7728,0.8735,10000,0,omit,2026
hn,a_verbalized,recall_at_90_precision,497,90,0.0000,0.0012,0.0000,0.0000,10000,0,zero,2026
hn,a_verbalized,recall_at_99_precision,497,90,0.0000,0.0000,0.0000,0.0000,10000,0,zero,2026
hn,a_verbalized,ece,497,90,0.6539,0.6539,0.6209,0.6858,10000,0,omit,2026
hn,a_verbalized,brier,497,90,0.5604,0.5604,0.5347,0.5853,10000,0,omit,2026
hn,a_verbalized,average_precision,497,90,0.4462,0.4484,0.3503,0.5446,10000,0,omit,2026
hn,b_selected_id_exp_logprob,recall_at_90_precision,497,90,0.2222,0.2701,0.1341,0.4400,10000,0,zero,2026
hn,b_selected_id_exp_logprob,recall_at_99_precision,497,90,0.2000,0.2097,0.1237,0.3204,10000,0,zero,2026
hn,b_selected_id_exp_logprob,ece,497,90,0.4974,0.4974,0.4654,0.5285,10000,0,omit,2026
hn,b_selected_id_exp_logprob,brier,497,90,0.3750,0.3749,0.3491,0.4010,10000,0,omit,2026
hn,b_selected_id_exp_logprob,average_precision,497,90,0.6645,0.6658,0.5682,0.7510,10000,0,omit,2026
