pool,estimator,bin_lo,bin_hi,n,mean_confidence,accuracy,gap_abs
pool_en,a_verbalized,0.00,0.10,0,,,
pool_en,a_verbalized,0.10,0.20,5,0.1500,0.2000,0.0500
pool_en,a_verbalized,0.20,0.30,0,,,
pool_en,a_verbalized,0.30,0.40,0,,,
pool_en,a_verbalized,0.40,0.50,19,0.4468,0.0000,0.4468
pool_en,a_verbalized,0.50,0.60,0,,,
pool_en,a_verbalized,0.60,0.70,109,0.6500,0.1193,0.5307
pool_en,a_verbalized,0.70,0.80,52,0.7408,0.1538,0.5869
pool_en,a_verbalized,0.80,0.90,241,0.8500,0.4398,0.4102
pool_en,a_verbalized,0.90,1.00,71,0.9365,0.9014,0.0351
pool_en,b_selected_id_exp_logprob,0.00,0.10,0,,,
pool_en,b_selected_id_exp_logprob,0.10,0.20,2,0.1842,0.0000,0.1842
pool_en,b_selected_id_exp_logprob,0.20,0.30,10,0.2630,0.0000,0.2630
pool_en,b_selected_id_exp_logprob,0.30,0.40,27,0.3513,0.0370,0.3143
pool_en,b_selected_id_exp_logprob,0.40,0.50,54,0.4511,0.1481,0.3030
pool_en,b_selected_id_exp_logprob,0.50,0.60,67,0.5492,0.0746,0.4746
pool_en,b_selected_id_exp_logprob,0.60,0.70,52,0.6477,0.2500,0.3977
pool_en,b_selected_id_exp_logprob,0.70,0.80,50,0.7524,0.2400,0.5124
pool_en,b_selected_id_exp_logprob,0.80,0.90,62,0.8519,0.2903,0.5616
pool_en,b_selected_id_exp_logprob,0.90,1.00,173,0.9766,0.7803,0.1962
hn,a_verbalized,0.00,0.10,0,,,
hn,a_verbalized,0.10,0.20,0,,,
hn,a_verbalized,0.20,0.30,0,,,
hn,a_verbalized,0.30,0.40,0,,,
hn,a_verbalized,0.40,0.50,5,0.4380,0.0000,0.4380
hn,a_verbalized,0.50,0.60,0,,,
hn,a_verbalized,0.60,0.70,44,0.6500,0.0000,0.6500
hn,a_verbalized,0.70,0.80,43,0.7347,0.0000,0.7347
hn,a_verbalized,0.80,0.90,302,0.8500,0.1291,0.7209
hn,a_verbalized,0.90,1.00,103,0.9314,0.4951,0.4362
hn,b_selected_id_exp_logprob,0.00,0.10,1,0.0852,0.0000,0.0852
hn,b_selected_id_exp_logprob,0.10,0.20,2,0.1386,0.0000,0.1386
hn,b_selected_id_exp_logprob,0.20,0.30,17,0.2599,0.0588,0.2011
hn,b_selected_id_exp_logprob,0.30,0.40,42,0.3593,0.0714,0.2879
hn,b_selected_id_exp_logprob,0.40,0.50,69,0.4509,0.0435,0.4074
hn,b_selected_id_exp_logprob,0.50,0.60,72,0.5462,0.0278,0.5184
hn,b_selected_id_exp_logprob,0.60,0.70,62,0.6493,0.0968,0.5526
hn,b_selected_id_exp_logprob,0.70,0.80,57,0.7517,0.1053,0.6465
hn,b_selected_id_exp_logprob,0.80,0.90,51,0.8531,0.1765,0.6767
hn,b_selected_id_exp_logprob,0.90,1.00,124,0.9699,0.4839,0.4860
