pool,estimator,metric,n,n_correct,point,boot_mean,ci95_low,ci95_high,n_boot,n_boot_undefined,undefined_as,seed
pool_en,a_verbalized,recall_at_90_precision,500,189,0.1640,0.1620,0.0749,0.2201,10000,0,zero,2026
pool_en,a_verbalized,recall_at_99_precision,500,189,0.0688,0.1033,0.0380,0.2053,10000,0,zero,2026
pool_en,a_verbalized,ece,500,189,0.3039,0.3042,0.2680,0.3404,10000,0,omit,2026
pool_en,a_verbalized,brier,500,189,0.2642,0.2643,0.2453,0.2844,10000,0,omit,2026
pool_en,a_verbalized,average_precision,500,189,0.7370,0.7372,0.6773,0.7914,10000,0,omit,2026
pool_en,b_selected_id_exp_logprob,recall_at_90_precision,500,189,0.3862,0.3521,0.0604,0.5650,10000,0,zero,2026
pool_en,b_selected_id_exp_logprob,recall_at_99_precision,500,189,0.0741,0.0940,0.0422,0.1936,10000,0,zero,2026
pool_en,b_selected_id_exp_logprob,ece,500,189,0.5059,0.5060,0.4662,0.5462,10000,0,omit,2026
pool_en,b_selected_id_exp_logprob,brier,500,189,0.4587,0.4588,0.4224,0.4962,10000,0,omit,2026
pool_en,b_selected_id_exp_logprob,average_precision,500,189,0.7842,0.7848,0.7240,0.8366,10000,0,omit,2026
hn,a_verbalized,recall_at_90_precision,499,100,0.0000,0.1317,0.0000,0.3333,10000,0,zero,2026
hn,a_verbalized,recall_at_99_precision,499,100,0.0000,0.0123,0.0000,0.2471,10000,0,zero,2026
hn,a_verbalized,ece,499,100,0.5999,0.6000,0.5664,0.6326,10000,0,omit,2026
hn,a_verbalized,brier,499,100,0.5005,0.5005,0.4763,0.5243,10000,0,omit,2026
hn,a_verbalized,average_precision,499,100,0.4973,0.4989,0.4088,0.5833,10000,0,omit,2026
hn,b_selected_id_exp_logprob,recall_at_90_precision,499,100,0.2700,0.2126,0.0196,0.4915,10000,0,zero,2026
hn,b_selected_id_exp_logprob,recall_at_99_precision,499,100,0.0500,0.0746,0.0122,0.2800,10000,0,zero,2026
hn,b_selected_id_exp_logprob,ece,499,100,0.6433,0.6434,0.6095,0.6770,10000,0,omit,2026
hn,b_selected_id_exp_logprob,brier,499,100,0.5637,0.5638,0.5314,0.5964,10000,0,omit,2026
hn,b_selected_id_exp_logprob,average_precision,499,100,0.6430,0.6459,0.5452,0.7371,10000,0,omit,2026
