pool,estimator,bin_lo,bin_hi,n,mean_confidence,accuracy,gap_abs
pool_en,a_verbalized,0.00,0.10,0,,,
pool_en,a_verbalized,0.10,0.20,0,,,
pool_en,a_verbalized,0.20,0.30,5,0.3000,0.0000,0.3000
pool_en,a_verbalized,0.30,0.40,0,,,
pool_en,a_verbalized,0.40,0.50,112,0.4228,0.0804,0.3424
pool_en,a_verbalized,0.50,0.60,37,0.5959,0.1892,0.4068
pool_en,a_verbalized,0.60,0.70,107,0.6631,0.2336,0.4294
pool_en,a_verbalized,0.70,0.80,93,0.7500,0.3333,0.4167
pool_en,a_verbalized,0.80,0.90,114,0.8491,0.7544,0.0947
pool_en,a_verbalized,0.90,1.00,32,0.9203,0.9688,0.0484
pool_en,b_selected_id_exp_logprob,0.00,0.10,0,,,
pool_en,b_selected_id_exp_logprob,0.10,0.20,1,0.1783,0.0000,0.1783
pool_en,b_selected_id_exp_logprob,0.20,0.30,1,0.2997,0.0000,0.2997
pool_en,b_selected_id_exp_logprob,0.30,0.40,5,0.3576,0.0000,0.3576
pool_en,b_selected_id_exp_logprob,0.40,0.50,23,0.4430,0.0435,0.3995
pool_en,b_selected_id_exp_logprob,0.50,0.60,27,0.5474,0.1111,0.4363
pool_en,b_selected_id_exp_logprob,0.60,0.70,27,0.6514,0.1481,0.5032
pool_en,b_selected_id_exp_logprob,0.70,0.80,31,0.7488,0.0645,0.6843
pool_en,b_selected_id_exp_logprob,0.80,0.90,42,0.8486,0.1429,0.7058
pool_en,b_selected_id_exp_logprob,0.90,1.00,343,0.9862,0.5044,0.4819
hn,a_verbalized,0.00,0.10,0,,,
hn,a_verbalized,0.10,0.20,0,,,
hn,a_verbalized,0.20,0.30,0,,,
hn,a_verbalized,0.30,0.40,0,,,
hn,a_verbalized,0.40,0.50,13,0.4385,0.0000,0.4385
hn,a_verbalized,0.50,0.60,10,0.5950,0.1000,0.4950
hn,a_verbalized,0.60,0.70,36,0.6528,0.0000,0.6528
hn,a_verbalized,0.70,0.80,136,0.7500,0.0368,0.7132
hn,a_verbalized,0.80,0.90,255,0.8498,0.2275,0.6224
hn,a_verbalized,0.90,1.00,49,0.9286,0.7347,0.1939
hn,b_selected_id_exp_logprob,0.00,0.10,0,,,
hn,b_selected_id_exp_logprob,0.10,0.20,0,,,
hn,b_selected_id_exp_logprob,0.20,0.30,3,0.2440,0.0000,0.2440
hn,b_selected_id_exp_logprob,0.30,0.40,11,0.3596,0.0000,0.3596
hn,b_selected_id_exp_logprob,0.40,0.50,24,0.4595,0.0000,0.4595
hn,b_selected_id_exp_logprob,0.50,0.60,33,0.5618,0.0909,0.4709
hn,b_selected_id_exp_logprob,0.60,0.70,43,0.6450,0.0465,0.5985
hn,b_selected_id_exp_logprob,0.70,0.80,51,0.7525,0.0588,0.6936
hn,b_selected_id_exp_logprob,0.80,0.90,55,0.8564,0.1455,0.7110
hn,b_selected_id_exp_logprob,0.90,1.00,279,0.9803,0.3011,0.6793
