query_user_id,rank,candidate_user_id,score
user_0168255c,1,user_f43d6008,0.776300
user_0168255c,2,user_bdcc6e7d,0.700586
user_0168255c,3,user_39b3eda0,0.699802
user_0168255c,4,user_fa60616d,0.691520
user_0168255c,5,user_7924afc9,0.690177
user_0168255c,6,user_7fd91653,0.686152
user_0168255c,7,user_45be01a5,0.680027
user_0168255c,8,user_e93dfaa2,0.679463
user_0168255c,9,user_b8f24804,0.678633
user_0168255c,10,user_3f2fbc90,0.677642
user_0168255c,11,user_8a760553,0.677617
user_0168255c,12,user_5881b259,0.669549
user_0168255c,13,user_f0b144fc,0.662754
user_0168255c,14,user_91f5e7af,0.661813
user_0168255c,15,user_c8e749e2,0.661440
user_02016939,1,user_6ae9ce92,0.676591
user_02016939,2,user_09dea596,0.666890
user_02016939,3,user_02016939,0.646869
user_02016939,4,user_56e6d0cd,0.642392
user_02016939,5,user_d9b8914f,0.640802
user_02016939,6,user_9fefea54,0.639989
user_02016939,7,user_dd1d7b22,0.637920
user_02016939,8,user_ba4f42bb,0.636364
user_02016939,9,user_ded778b8,0.632832
user_02016939,10,user_ea67f9c6,0.630537
user_02016939,11,user_70580e9a,0.630194
user_02016939,12,user_1f09455f,0.627513
user_02016939,13,user_3121653d,0.624914
user_02016939,14,user_378003e3,0.624597
user_02016939,15,user_ac6d6bff,0.624358
user_0285dee3,1,user_0285dee3,0.573145
user_0285dee3,2,user_380ddd3f,0.569161
user_0285dee3,3,user_b2dd04c8,0.548681
user_0285dee3,4,user_69a4dd06,0.543239
user_0285dee3,5,user_94f185bc,0.543036
user_0285dee3,6,user_0dfb7397,0.538767
user_0285dee3,7,user_6bf0e007,0.528829
user_0285dee3,8,user_7b052f32,0.526668
user_0285dee3,9,user_5d35f631,0.524661
user_0285dee3,10,user_b9b94432,0.522086
user_0285dee3,11,user_a1b097c2,0.507485
user_0285dee3,12,user_a16d1fb6,0.504495
user_0285dee3,13,user_56909460,0.503813
user_0285dee3,14,user_823846de,0.498513
user_0285dee3,15,user_c4b781ce,0.494497
