query_user_id,rank,candidate_user_id,score
user_0168255c,1,user_b8f24804,0.460128
user_0168255c,2,user_f43d6008,0.435246
user_0168255c,3,user_c8e749e2,0.390028
user_0168255c,4,user_45be01a5,0.380863
user_0168255c,5,user_39b3eda0,0.365336
user_0168255c,6,user_fa60616d,0.358331
user_0168255c,7,user_5881b259,0.341983
user_0168255c,8,user_f0b144fc,0.339384
user_0168255c,9,user_bdcc6e7d,0.321687
user_0168255c,10,user_8a760553,0.313126
user_0168255c,11,user_e93dfaa2,0.251892
user_0168255c,12,user_91f5e7af,0.249019
user_0168255c,13,user_3f2fbc90,0.248545
user_0168255c,14,user_7fd91653,0.178390
user_0168255c,15,user_7924afc9,0.174309
user_02016939,1,user_56e6d0cd,0.536103
user_02016939,2,user_ded778b8,0.519389
user_02016939,3,user_ba4f42bb,0.504432
user_02016939,4,user_9fefea54,0.502075
user_02016939,5,user_70580e9a,0.499212
user_02016939,6,user_ac6d6bff,0.478782
user_02016939,7,user_3121653d,0.477808
user_02016939,8,user_1f09455f,0.474898
user_02016939,9,user_09dea596,0.450560
user_02016939,10,user_d9b8914f,0.425855
user_02016939,11,user_ea67f9c6,0.411926
user_02016939,12,user_02016939,0.399173
user_02016939,13,user_6ae9ce92,0.391678
user_02016939,14,user_378003e3,0.344904
user_02016939,15,user_dd1d7b22,0.306825
user_0285dee3,1,user_69a4dd06,0.415571
user_0285dee3,2,user_0285dee3,0.410238
user_0285dee3,3,user_c4b781ce,0.383625
user_0285dee3,4,user_380ddd3f,0.372953
user_0285dee3,5,user_0dfb7397,0.371059
user_0285dee3,6,user_a1b097c2,0.368570
user_0285dee3,7,user_823846de,0.364765
user_0285dee3,8,user_56909460,0.351227
user_0285dee3,9,user_6bf0e007,0.341113
user_0285dee3,10,user_7b052f32,0.325864
user_0285dee3,11,user_a16d1fb6,0.263241
user_0285dee3,12,user_b2dd04c8,0.257497
user_0285dee3,13,user_94f185bc,0.225379
user_0285dee3,14,user_5d35f631,0.208058
user_0285dee3,15,user_b9b94432,0.196282
user_02d03e8a,1,user_02d03e8a,0.504679
user_02d03e8a,2,user_5d7cbf11,0.493639
user_02d03e8a,3,user_f75c71f0,0.422342
user_02d03e8a,4,user_f51339f8,0.419268
user_02d03e8a,5,user_89f449b4,0.415164
user_02d03e8a,6,user_f827c7dd,0.408022
user_02d03e8a,7,user_b8f24804,0.403345
user_02d03e8a,8,user_2a94c885,0.402716
user_02d03e8a,9,user_c8f82360,0.391726
user_02d03e8a,10,user_8ac8f24f,0.373945
user_02d03e8a,11,user_f107081e,0.326589
user_02d03e8a,12,user_380ddd3f,0.259032
user_02d03e8a,13,user_2a41ee39,0.252787
user_02d03e8a,14,user_9991e1d8,0.231917
user_02d03e8a,15,user_80dc757f,0.199344
user_02d8a1f8,1,user_4607d25d,0.498233
user_02d8a1f8,2,user_8ac8f24f,0.461238
user_02d8a1f8,3,user_8285a696,0.412676
user_02d8a1f8,4,user_02d8a1f8,0.409368
user_02d8a1f8,5,user_a973cf8e,0.371640
user_02d8a1f8,6,user_ee14f818,0.367231
user_02d8a1f8,7,user_84c14a6f,0.364937
user_02d8a1f8,8,user_9d786aa8,0.356255
user_02d8a1f8,9,user_2dc10d2d,0.323539
user_02d8a1f8,10,user_c8f82360,0.314714
user_02d8a1f8,11,user_b6b89f00,0.310744
user_02d8a1f8,12,user_00723699,0.306528
user_02d8a1f8,13,user_91f5e7af,0.305369
user_02d8a1f8,14,user_165a2706,0.272754
user_02d8a1f8,15,user_7b052f32,0.245145
user_02fecea2,1,user_2cb4b018,0.637092
user_02fecea2,2,user_aa2fbe83,0.622603
user_02fecea2,3,user_9818dcae,0.593745
user_02fecea2,4,user_2dc10d2d,0.568915
user_02fecea2,5,user_8ac8f24f,0.547742
user_02fecea2,6,user_1c45ab75,0.507275
user_02fecea2,7,user_c8f82360,0.307920
user_02fecea2,8,user_5159d3a1,0.289237
user_02fecea2,9,user_8e97a154,0.281416
user_02fecea2,10,user_11e8421f,0.277690
user_02fecea2,11,user_0bd8ba7c,0.227962
user_02fecea2,12,user_9c7183c8,0.220367
user_02fecea2,13,user_8006727d,0.181201
user_02fecea2,14,user_8285a696,0.174457
user_02fecea2,15,user_46bb5302,0.133177
user_03410579,1,user_2f4cc646,0.336317
user_03410579,2,user_03410579,0.192360
user_03410579,3,user_acd6ddfb,0.183480
user_03410579,4,user_5a5bee64,0.181717
user_03410579,5,user_41b20ee4,0.171221
user_03410579,6,user_1a7d6cd5,0.127892
user_03410579,7,user_470c0785,0.127378
user_03410579,8,user_89571ce8,0.124680
user_03410579,9,user_d2c97c8e,0.123087
user_03410579,10,user_3239132f,0.121827
user_03410579,11,user_54b19b29,0.110660
user_03410579,12,user_52f895f1,0.088819
user_03410579,13,user_3ce4c1f8,0.078980
user_03410579,14,user_0c578ab5,0.074520
user_03410579,15,user_3b79395c,0.044787
user_043ea160,1,user_043ea160,0.497116
user_043ea160,2,user_52c9252c,0.338577
